Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1231,30739.3_,2298.608333333333,4,4,13,6,"Student Loan, Personal Loan, Payday Loan, Payday Loan, Student Loan, and Student Loan",15,8,16.7,5.0,Standard,1365.58,23.40314239952093,18 Years and 2 Months,Yes,135.2381410533745,106.45326410182086,High_spent_Small_value_payments,248.16942817813796,2024-11-01
CUS_0x1233,42112.56,3511.38,5,6,9,4,"Not Specified, Auto Loan, Personal Loan, and Auto Loan",1,3,_,4.0,Good,1052.71,25.03652442406168,16 Years and 10 Months,No,132.19354223673596,218.91425990052966,Low_spent_Small_value_payments,290.0301978627343,2024-05-01
CUS_0x123a,36228.2,2991.0166666666664,8,7,34,2,"Personal Loan, and Not Specified",28,15,18.07,9.0,_,1643.06,37.11248259461096,18 Years and 9 Months,Yes,47.25240768446396,176.60375699560146,Low_spent_Medium_value_payments,366.9782289080675,2023-03-01
CUS_0x1252,34132.87,2970.4058333333337,4,6,4,4,"Student Loan, Personal Loan, Not Specified, and Home Equity Loan",7,13,10.89,2.0,Good,187.64,37.948323515588754,21 Years and 2 Months,No,100.08431790291893,378.7462153823724,Low_spent_Small_value_payments,108.21005004804205,2023-02-01
CUS_0x1281,8780.975,435.7479166666667,5,4,20,6,"Debt Consolidation Loan, Not Specified, Home Equity Loan, Not Specified, Student Loan, and Debt Consolidation Loan",16,8,14.82,4.0,Standard,851.71,38.95839469679362,11 Years and 3 Months,Yes,36.74831397560092,52.84878986594918,Low_spent_Small_value_payments,243.9776878251166,2023-11-01
CUS_0x12af,33799.36,2944.613333333333,5,3,19,4,"Personal Loan, Not Specified, Mortgage Loan, and Personal Loan",15,13,22.35,5.0,Standard,173.76,28.18336167434736,6 Years and 11 Months,Yes,75.09807764471795,235.3823394199225,Low_spent_Large_value_payments,253.98091626869288,2024-03-01
CUS_0x12d1,21384.94,1646.0783333333331,4,4,15,2,"Credit-Builder Loan, and Debt Consolidation Loan",24,15,14.37,9.0,Standard,691.53,24.884464354479032,27 Years and 0 Months,Yes,22.09562499959782,168.24549551002502,Low_spent_Medium_value_payments,254.2667128237105,2024-01-01
CUS_0x12ef,68898.0,5588.5,7,4,11,0,,24,16,5.8,5.0,Standard,312.14,29.86160695200283,28 Years and 2 Months,No,0.0,195.78897977675166,!@9#%8,613.0610202232482,2024-02-01
CUS_0x12fc,128450.32,10943.193333333336,1,5,4,3,"Home Equity Loan, Student Loan, and Personal Loan",8,2,6.66,4.0,Good,23.79,29.21807000248537,30 Years and 9 Months,NM,161.48753156568546,845.0663810926379,Low_spent_Medium_value_payments,367.7654206750102,2024-03-01
CUS_0x131f,68105.6,5636.466666666667,8,8,19,5,"Not Specified, Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",28,27,26.05,13.0,Bad,2867.7,24.1459024679162,2 Years and 5 Months,Yes,279.08206906571314,62.664706965685504,High_spent_Medium_value_payments,471.8998906352681,2024-05-01
CUS_0x1325,35823.96,2937.33,6,547,22,5,"Not Specified, Personal Loan, Auto Loan, Not Specified, and Debt Consolidation Loan",39,17,7.35,8.0,Bad,3029.92,31.56717092224887,9 Years and 9 Months,Yes,112.43578465602695,148.5160712146269,High_spent_Small_value_payments,292.7811441293461,2023-01-01
CUS_0x133e,16626.25,1096.5208333333333,0,2,5,0,,13,7,6.39,0.0,Good,1113.26,25.30621989849736,22 Years and 10 Months,No,0.0,53.38619195442173,Low_spent_Small_value_payments,346.2658913789116,2024-01-01
CUS_0x13bc,10885.15,611.0958333333333,5,5,5,1,Debt Consolidation Loan,18,15,9.0,4.0,Standard,246.22,34.03570757557313,14 Years and 10 Months,Yes,6.6065179827057605,36.640367339025374,Low_spent_Small_value_payments,307.86269801160216,2023-11-01
CUS_0x13c2,60682.11,5179.8425,8,5,23,5,"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, and Debt Consolidation Loan",41,18,26.12,9.0,Bad,4899.87,35.24700773699953,9 Years and 5 Months,Yes,195.4514774266537,142.65756191908372,Low_spent_Medium_value_payments,386.53022367825247,2024-02-01
CUS_0x13d6,94158.69,7743.5575,1,4,3,4,"Credit-Builder Loan, Mortgage Loan, Student Loan, and Payday Loan",25,5,9.52,4.0,Good,1415.3,30.93572141034729,33 Years and 3 Months,No,204.3445223904461,323.5919943178024,High_spent_Small_value_payments,506.41923329175165,2023-07-01
CUS_0x13f6,152252.24,11346.170878223316,2,4,1,2,"Debt Consolidation Loan, and Not Specified",14,4,6.5,6.0,Good,522.89,38.06384213277262,31 Years and 3 Months,NM,1568.862242170566,309.51105745956835,High_spent_Medium_value_payments,998.4111554798848,2023-07-01
CUS_0x1422,57877.95,4531.1625,8,10,15,5,"Home Equity Loan, Not Specified, Not Specified, Debt Consolidation Loan, and Mortgage Loan",19,13,14.36,15.0,Standard,1805.92,34.802380380094945,20 Years and 0 Months,Yes,204.4724625889849,294.4347682469838,Low_spent_Small_value_payments,244.2090191640313,2024-04-01
CUS_0x1470,14156.88,1251.74,3,4,4,4,"Mortgage Loan, Not Specified, Payday Loan, and Home Equity Loan",0,8,8.86,4.0,Good,602.3,31.11071542032609,27 Years and 0 Months,No,57803.0,91.45229450742808,Low_spent_Small_value_payments,287.0636960694384,2024-02-01
CUS_0x1498,53869.44,4359.12,9,9,24,9,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Student Loan, Mortgage Loan, Home Equity Loan, Personal Loan, Personal Loan, and Home Equity Loan",20,18,24.05,12.0,Bad,4404.08,26.43925976935648,9 Years and 10 Months,Yes,253.212563285168,__10000__,High_spent_Medium_value_payments,292.0164258572154,2023-10-01
CUS_0x14a3,119016.88,9918.073333333334,8,3,8,0,,27,13,2.77,5.0,Standard,839.78,29.00174210635968,32 Years and 6 Months,No,0.0,__10000__,High_spent_Medium_value_payments,926.3716741639321,2023-07-01
CUS_0x14c1,130220.08,11141.673333333334,6,3,14,3,"Home Equity Loan, Personal Loan, and Debt Consolidation Loan",23,17,2.17,4.0,Standard,410.1,34.41841759383175,29 Years and 11 Months,Yes,245.9244924642511,282.358026649812,Low_spent_Large_value_payments,855.8848142192703,2023-11-01
CUS_0x14d3,107572.72_,9133.393333333332,4,4,15,2,"Payday Loan, and Auto Loan",17,3951,11.48,2.0,Standard,302.52,32.85526169333302,18 Years and 5 Months,NM,106.24725559655812,241.18124094226525,!@9#%8,815.9108367945099,2023-12-01
CUS_0x14f1,40701.88,3309.8233333333333,8,9,26,3,"Not Specified, Home Equity Loan, and Home Equity Loan",31,16,10.86,13.0,Standard,2052.1,32.78586748525254,6 Years and 6 Months,Yes,72.23857851158374,115.75631981036524,High_spent_Small_value_payments,402.9874350113844,2024-09-01
CUS_0x150c,128427.2,10621.266666666666,5,4,1,3,"Auto Loan, Payday Loan, and Debt Consolidation Loan",2,8,4.199999999999998,4.0,Good,201.94,39.26565360519761,16 Years and 6 Months,No,224.8576525516605,167.75236449051744,High_spent_Medium_value_payments,919.5166496244887,2023-07-01
CUS_0x15da,127014.28,10870.523333333333,7,6,14,3,"Payday Loan, Student Loan, and Not Specified",28,13,_,9.0,_,245.63,36.14219109482836,9 Years and 1 Months,Yes,215.3848503127789,323.43067652816967,Low_spent_Medium_value_payments,828.2368064923847,2024-02-01
CUS_0x15f8,69840.02,5874.001666666668,6,5,10,1,Payday Loan,21,8,8.42,4.0,Good,651.86,40.276293162818725,19 Years and 2 Months,No,49.69735077100569,161.05925223455645,!@9#%8,630.79550530822,2024-06-01
CUS_0x1691,44744.0,3457.666666666666,3,3,10,0,,5,11,5.39,6.0,_,761.54,39.9018619671449,22 Years and 10 Months,No,0.0,109.40656611147983,High_spent_Medium_value_payments,486.3601005551868,2024-09-01
CUS_0x16a4,31178.1,2353.175,6,9,24,6,"Student Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, and Not Specified",48,20,_,10.0,_,4815.82,30.664706127978697,6 Years and 2 Months,Yes,144.62971383382686,299.34730678478024,Low_spent_Small_value_payments,81.34047938139288,2023-02-01
CUS_0x16ae,51034.12,4499.843333333333,6,4,6,2,"Student Loan, and Credit-Builder Loan",16,23,11.87,1.0,Standard,1350.85,33.73788997493386,16 Years and 2 Months,Yes,65.43101498485487,108.81381239621874,High_spent_Large_value_payments,515.7395059522597,2025-01-01
CUS_0x16b1,67412.2,5911.6833333333325,6,5,7,2,"Credit-Builder Loan, and Home Equity Loan",23,12,18.7,9.0,Standard,858.85,37.420087939224615,28 Years and 9 Months,Yes,106.59293418922586,__10000__,High_spent_Medium_value_payments,508.8714529394218,2024-06-01
CUS_0x16f8,66681.8,5278.816666666667,2,1,11,0,,4,12,3.55,2.0,Good,679.2,29.76804418787517,25 Years and 11 Months,No,0.0,77.6304728981662,High_spent_Medium_value_payments,700.2511937685006,2023-09-01
CUS_0x16fd,10227.53,987.2941666666668,9,6,22,6,"Payday Loan, Mortgage Loan, Auto Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",24,20,2.38,8.0,_,1610.77,36.60535915420492,8 Years and 4 Months,Yes,42.27073229372549,124.96137702790249,Low_spent_Medium_value_payments,262.1127606996644,2024-07-01
CUS_0x1743,42527.04,3374.92,8,6,22,7,"Auto Loan, Home Equity Loan, Not Specified, Not Specified, Student Loan, Mortgage Loan, and Mortgage Loan",22,18,18.9,15.0,Bad,4193.78,25.462765121710085,11 Years and 0 Months,Yes,230.2689335553484,75.47368229286906,High_spent_Medium_value_payments,281.7493841517825,2024-06-01
CUS_0x1765,15186.175,1527.5145833333331,4,3,6,1,Student Loan,21,15_,15.22,0.0,Standard,9.7,31.02592990031219,23 Years and 9 Months,NM,10.91506982808892,84.25057610368384,Low_spent_Small_value_payments,347.5858124015606,2024-12-01
CUS_0x17ec,30813.68,2109.2054909703334,3,3,8,4,"Auto Loan, Student Loan, Student Loan, and Home Equity Loan",7,10,6.93,2.0,_,1312.2,35.3800553201252,18 Years and 10 Months,No,236.6567313279753,198.92522329626956,Low_spent_Large_value_payments,243.9998877387553,2024-02-01
CUS_0x17f3,83355.33,7208.2775,6,4,8,2,"Not Specified, and Mortgage Loan",11,15,10.07,4.0,Standard,677.27,26.03671344724589,30 Years and 2 Months,Yes,75.96957344024112,236.9426392136372,High_spent_Small_value_payments,667.9155373461217,2024-06-01
CUS_0x17ff,17574.745,1344.5620833333332,4,3,7,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",19,9,16.26,7.0,Standard,766.72,37.63876297140307,24 Years and 2 Months,Yes,27.02517949812522,52.032435991118604,Low_spent_Large_value_payments,325.39859284408953,2024-10-01
CUS_0x181a,34676.38,2592.248483217291,5,5,18,-100,Student Loan,5,15,8.93,2.0,Standard,1334.09,29.526947210024304,16 Years and 0 Months,Yes,200.8180757163976,206.43743942054127,Low_spent_Small_value_payments,340.464168312437,2023-08-01
CUS_0x181e,29555.14,2663.9283333333333,7,3,13,5_,"Personal Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",22,17,9.04,6.0,Standard,1488.29,26.74922823976776,12 Years and 9 Months,Yes,81.46542677045406,30.058599818785964,!@9#%8,394.8688067440933,2023-01-01
CUS_0x1833,11527.73,839.6441666666666,3,7,14,1,Auto Loan,12,12,1.39,3.0,Standard,532.86,23.33033014028687,23 Years and 11 Months,NM,5.913472082013276,43.23742383911657,Low_spent_Large_value_payments,304.8135207455368,2024-12-01
CUS_0x1835,34888.64,2771.3866666666668,5,5,20,3,"Credit-Builder Loan, Credit-Builder Loan, and Mortgage Loan",29,16,17.08,6.0,_,817.6,24.7701516213974,8 Years and 11 Months,Yes,46.09169698112407,96.82983022297876,High_spent_Small_value_payments,394.2171394625638,2024-11-01
CUS_0x1869,30643.51,2703.625833333333,0,5,7,0,,11,12,1.74,5.0,_,1364.66,29.781641851470614,31 Years and 9 Months,No,0.0,__10000__,High_spent_Medium_value_payments,451.38667530744164,2023-08-01
CUS_0x187e,19653.61,1800.8008333333337,9,5,25,7_,"Credit-Builder Loan, Payday Loan, Personal Loan, Auto Loan, Home Equity Loan, Home Equity Loan, and Payday Loan",28,20,19.67,11.0,Bad,3838.0,33.18220990431151,13 Years and 11 Months,Yes,63.36866264354919,22.594322254180497,High_spent_Large_value_payments,334.1170984356037,2023-12-01
CUS_0x18ab,14840.5,1501.708333333333,9,8,25,9,"Not Specified, Home Equity Loan, Auto Loan, Payday Loan, Student Loan, Personal Loan, Mortgage Loan, Not Specified, and Auto Loan",11,22,22.07,7.0,Bad,2685.41,27.710281666743235,12 Years and 3 Months,Yes,84.42084263040881,191.19544730794087,Low_spent_Small_value_payments,164.55454339498357,2024-06-01
CUS_0x18bc,72617.54999999999,5996.462499999999,26,4,5,-100,"Personal Loan, and Debt Consolidation Loan",22,15_,_,7.0,Good,1475.91,28.91926157534652,28 Years and 2 Months,No,89.40561295123986,389.7809702665799,Low_spent_Medium_value_payments,400.4596667821802,2024-12-01
CUS_0x18c5,140947.8,11496.65,5,7,5,2,"Personal Loan, and Credit-Builder Loan",9,2438,8.08,9.0,Standard,1348.57,27.625146720722505,19 Years and 5 Months,Yes,224.2138181230981,432.96374940904985,Low_spent_Large_value_payments,762.4874324678518,2023-06-01
CUS_0x18e8,19633.03,1760.085833333333,6,8,28,7,"Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan",30,19,20.72,11.0,_,4381.85,32.31899021467071,5 Years and 8 Months,Yes,74.7678592309555,111.92422188676868,High_spent_Small_value_payments,249.31650221560918,2024-06-01
CUS_0x18f5,41801.68,3280.473333333333,4,3,18,3,"Not Specified, Debt Consolidation Loan, and Not Specified",10,9,5.1099999999999985,1.0,Standard,140.6,29.749240908243465,19 Years and 4 Months,Yes,71.71705310448802,360.4852650228223,Low_spent_Small_value_payments,185.845015206023,2024-08-01
CUS_0x1920,20328.25,1561.020833333333,6,5,16,0,,19,20,_,5.0,Standard,1025.98,32.88569540221571,5 Years and 7 Months,Yes,0.0,63.30594125464429,Low_spent_Small_value_payments,382.79614207868906,2023-01-01
CUS_0x1929,101586.12,8278.51,8,7,5773,0,,13,8,2.28,7.0,Good,597.31,29.737543972253576,28 Years and 10 Months,No,0.0,845.5012989454821,Low_spent_Small_value_payments,272.34970105451816,2024-11-01
CUS_0x192f,69304.04,5695.336666666666,5,7,11,7_,"Not Specified, Personal Loan, Not Specified, Home Equity Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",27,8,7.76,5.0,Standard,1760.52,30.559434720027053,16 Years and 0 Months,Yes,325.42189873573034,69.49446092503065,High_spent_Medium_value_payments,424.6173070059056,2023-04-01
CUS_0x1934,9085.09_,980.0908333333332,10,7,34,6,"Debt Consolidation Loan, Not Specified, Student Loan, Payday Loan, Home Equity Loan, and Debt Consolidation Loan",55,22,20.04,15.0,Bad,3708.09,38.00384062068367,14 Years and 2 Months,Yes,26.339556817852262,84.60564122945017,Low_spent_Medium_value_payments,267.06388528603094,2023-02-01
CUS_0x193b,19462.47,1920.8725,7,7,28,6,"Auto Loan, Mortgage Loan, Mortgage Loan, Not Specified, Student Loan, and Not Specified",55,18,1.96,9.0,Bad,2211.05,33.89504213409066,17 Years and 9 Months,Yes,60.80130551993776,121.84304937983265,High_spent_Small_value_payments,269.44289510022963,2023-07-01
CUS_0x1947,107458.2,8698.85,8,3,7,1,Student Loan,17,7,7.64,1.0,Good,244.5,42.29234770376012,32 Years and 6 Months,No,89.4060083598189,95.16846993352837,High_spent_Large_value_payments,925.3105217066527,2024-08-01
CUS_0x19a0,20618.37_,1425.1975,6,6,22,2,"Credit-Builder Loan, and Debt Consolidation Loan",34,20,18.74,10.0,Standard,1681.09,36.918347735499104,18 Years and 9 Months,Yes,21.806686430747003,141.26134262777344,Low_spent_Small_value_payments,269.45172094147955,2024-12-01
CUS_0x19b2,34134.78,2707.565,8,7,25,7,"Student Loan, Payday Loan, Mortgage Loan, Auto Loan, Not Specified, Not Specified, and Debt Consolidation Loan",6,20,19.06,15.0,Standard,2374.78,24.65338528588468,14 Years and 2 Months,Yes,195.5160024874414,161.16995697175355,High_spent_Small_value_payments,174.0705405408051,2024-03-01
CUS_0x19c9,14542.3_,1480.8583333333331,6,9,22,6,"Auto Loan, Not Specified, Auto Loan, Not Specified, Payday Loan, and Student Loan",27,18_,15.22,8.0,Bad,4479.0,34.83054103339056,1 Years and 2 Months,Yes,63.11198958207201,131.40925621245972,Low_spent_Medium_value_payments,233.56458753880156,2024-03-01
CUS_0x1a4b,19958.32,1411.1933333333334,1279,7,26,7,"Auto Loan, Student Loan, Home Equity Loan, Payday Loan, Payday Loan, Student Loan, and Debt Consolidation Loan",52,24,1.9,6.0,Bad,4753.48,37.128019888272384,4 Years and 11 Months,Yes,94.81042935216465,48.63739475294326,!@9#%8,187.9898370040933,2024-06-01
CUS_0x1a5a,32485.42,2451.1183333333333,3,6,7,0,,17,14,0.92,2.0,Standard,998.9,39.41216622232805,33 Years and 5 Months,No,0.0,56.18353882097721,High_spent_Large_value_payments,428.92829451235616,2024-04-01
CUS_0x1a96,28681.38,2127.115,3,5,2,0,,2,5,4.82,4.0,Good,467.64,32.00410689909755,19 Years and 6 Months,No,0.0,161.8166084076109,!@9#%8,335.13141526915086,2024-08-01
CUS_0x1a9c,17971.0,1383.583333333333,7,3,7,3,"Not Specified, Mortgage Loan, and Debt Consolidation Loan",29,14,11.09,1.0,Good,1282.79,29.399538396248413,22 Years and 4 Months,No,41.3915834647909,75.90186282522592,High_spent_Small_value_payments,298.092167805374,2023-01-01
CUS_0x1aaf,42474.48_,3101.080413995829,8,5,29,2,"Not Specified, and Not Specified",19,19,10.66,7.0,Standard,2637.96,25.338661311513743,12 Years and 9 Months,NM,499.92924442554977,43.398544156566636,High_spent_Large_value_payments,507.785797422054,2023-10-01
CUS_0x1ab3,81831.72,6910.31,6,5,1,4,"Auto Loan, Debt Consolidation Loan, Mortgage Loan, and Student Loan",8,4,5.14,4.0,Good,446.42,24.956494907196245,18 Years and 4 Months,No,234.5093958868053,145.2648815667498,High_spent_Large_value_payments,551.256722546445,2023-01-01
CUS_0x1abb,70217.08,5874.423333333332,9,7,28,5,"Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Not Specified, and Mortgage Loan",40,15,20.82,11.0,Bad,3100.0,27.245237386267394,9 Years and 10 Months,Yes,168.95555188558828,138.93205472165036,High_spent_Medium_value_payments,529.5547267260946,2023-10-01
CUS_0x1ad6,133444.08,10847.339999999998,5,3,13,7,"Payday Loan, Not Specified, Home Equity Loan, Student Loan, Home Equity Loan, Home Equity Loan, and Not Specified",16,15,17.04,11.0,Standard,217.91,37.25856856155757,15 Years and 3 Months,NM,24753.0,845.3280407318658,Low_spent_Small_value_payments,59.87018991744628,2024-10-01
CUS_0x1add,57452.43000000001,4802.7025,6,10,27,9,"Not Specified, Personal Loan, Student Loan, Not Specified, Payday Loan, Mortgage Loan, Mortgage Loan, Not Specified, and Debt Consolidation Loan",55,25,7.77,13.0,Bad,1567.24,26.01791228543348,20 Years and 3 Months,Yes,289.4597989299412,209.6409637990349,High_spent_Small_value_payments,241.1694872710239,2023-03-01
CUS_0x1b29,92362.68,7437.89,3,4,8,4,"Credit-Builder Loan, Credit-Builder Loan, Not Specified, and Auto Loan",5,9,18.26,8.0,_,747.28,24.053983173105483,14 Years and 8 Months,Yes,155.3304165032719,581.4912259792287,Low_spent_Large_value_payments,276.9673575174993,2023-12-01
CUS_0x1b3b,76624.48,6123.373333333332,0,2,8,0,,13,12,2.82,8.0,Good,781.42,33.0127125141646,18 Years and 0 Months,No,0.0,193.69688874390945,High_spent_Medium_value_payments,668.6404445894239,2024-09-01
CUS_0x1b8a,44927.86,3687.988333333333,4,6,6,3,"Not Specified, Personal Loan, and Debt Consolidation Loan",7,8,5.55,0.0,Good,762.62,33.03308334386134,21 Years and 4 Months,No,102.19032878254336,78.43785492350405,High_spent_Medium_value_payments,438.17064962728585,2024-06-01
CUS_0x1bac,15926.285,1591.1904166666666,4,4,11,2,"Auto Loan, and Personal Loan",14,19,19.54,5.0,Standard,1481.35,36.38451854169238,21 Years and 0 Months,Yes,14.817006678497476,178.5811736565482,Low_spent_Small_value_payments,255.72086133162102,2024-11-01
CUS_0x1bfd,19186.4,1645.8666666666668,6,10,24,4,"Personal Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",34,15,11.98,11.0,Standard,1753.33,30.923764879468585,8 Years and 10 Months,Yes,47.83430931263835,92.9706527229484,Low_spent_Large_value_payments,293.78170463107995,2024-08-01
CUS_0x1c1c,107626.59,9095.8825,3,5,11,3,"Personal Loan, Credit-Builder Loan, and Credit-Builder Loan",28,14,11.1,8.0,Standard,914.63,28.90267359351688,18 Years and 11 Months,Yes,163.80279430012405,__10000__,High_spent_Large_value_payments,791.6333165379428,2023-10-01
CUS_0x1c1f,24922.12,2175.843333333333,8,4,5,0,,25,17,8.37,2.0,Standard,407.79,30.31173200112788,28 Years and 5 Months,No,0.0,173.6184935119189,Low_spent_Medium_value_payments,323.96583982141436,2024-01-01
CUS_0x1c40,66749.64,5379.47,6,4,9,3,"Debt Consolidation Loan, Auto Loan, and Payday Loan",25,12,10.88,10.0,Standard,303.85,33.13231736652826,12 Years and 0 Months,NM,89.78489450906727,598.0398973879776,!@9#%8,140.12220810295514,2023-11-01
CUS_0x1c58,35319.26,3082.271666666667,4,3,7,4,"Mortgage Loan, Payday Loan, Payday Loan, and Credit-Builder Loan",5,3,6.66,3.0,Good,140.19,26.530480430596576,29 Years and 2 Months,No,112.73623806176728,254.04932875457,Low_spent_Small_value_payments,231.44159985032948,2024-10-01
CUS_0x1c65,90783.75,7727.3125,4,3,3,0,,26,18,-4.52,5.0,Good,54.93,41.292492556953015,21 Years and 11 Months,NM,0.0,51.69463275841549,High_spent_Large_value_payments,961.0366172415843,2023-11-01
CUS_0x1c79,14283.665,944.3054166666668,6,4,9,4,"Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",24,8,7.6,3.0,Standard,1225.88,27.646527468738693,22 Years and 11 Months,No,33.68791294124324,__10000__,High_spent_Medium_value_payments,272.81267498557133,2023-07-01
CUS_0x1ca9,128585.52,10674.46,4,4,7,1,Student Loan,22,11,7.32,6.0,Good,1000.37,35.321886789100965,22 Years and 0 Months,No,73.48567886971293,257.8548933707819,High_spent_Large_value_payments,976.1054277595053,2023-06-01
CUS_0x1d33,39294.3_,3292.525,9,10,30,3,"Debt Consolidation Loan, Home Equity Loan, and Debt Consolidation Loan",47,20,7.14,11.0,_,1292.73,30.485752262005647,13 Years and 10 Months,Yes,60.74439250830152,129.7396727183201,Low_spent_Small_value_payments,428.7684347733784,2024-01-01
CUS_0x1d51,69563.34_,5738.945,1,4,2,3,"Debt Consolidation Loan, Auto Loan, and Mortgage Loan",7,8,5.94,3.0,Good,164.52,31.876925296905053,19 Years and 5 Months,No,137.77806738072866,89.74145250964395,High_spent_Medium_value_payments,596.3749801096274,2024-06-01
CUS_0x1d6f,17438.8,1237.2333333333331,8,11,16,5,"Not Specified, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",21,18,20.68,9.0,Bad,2635.91,30.58534347362149,9 Years and 9 Months,Yes,44.235325495955365,150.64119863743872,Low_spent_Small_value_payments,218.84680919993926,2023-06-01
CUS_0x1d85,19455.49,1428.2908333333337,7,3,20,2,"Student Loan, and Not Specified",15,17,15.46,9.0,Standard,1427.03,36.39292995195802,12 Years and 9 Months,Yes,31.30713069585225,136.19558040764522,Low_spent_Medium_value_payments,255.3263722298359,2024-03-01
CUS_0x1dac,72886.08_,5805.84,882,9,30,9,"Credit-Builder Loan, Student Loan, Home Equity Loan, Home Equity Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Home Equity Loan, and Home Equity Loan",58,17,18.19,9.0,Bad,3839.64,38.56716503066517,7 Years and 11 Months,Yes,331.71951010181215,299.1377264110828,Low_spent_Medium_value_payments,299.9934763774976,2024-05-01
